time,pr,eto,tmmn,tmmx,rmin,rmax,vs,srad
1990-01-01 06:00:00,0.0,1.8,-10.01,10.98,31.59,100.0,4.35,8.61
1990-01-02 06:00:00,0.0,1.97,-8.47,13.25,27.07,96.64,3.6,8.66
1990-01-03 06:00:00,0.0,1.46,-5.44,7.48,24.97,92.67,6.24,6.73
1990-01-04 06:00:00,0.0,1.23,-10.0,6.43,23.54,100.0,3.5,8.88
1990-01-05 06:00:00,0.0,1.54,-11.1,8.21,29.54,100.0,4.64,8.11
1990-01-06 06:00:00,0.0,1.76,-8.99,10.3,23.59,100.0,3.95,8.92
1990-01-07 06:00:00,0.0,2.12,-6.95,13.67,26.74,95.6,3.91,8.87
1990-01-08 06:00:00,0.0,3.69,-3.25,19.82,23.28,75.58,5.98,8.38
1990-01-09 06:00:00,0.0,2.24,-2.34,14.74,21.56,89.72,4.36,8.9
1990-01-10 06:00:00,0.0,4.04,-0.12,22.75,12.71,75.55,4.73,9.17
1990-01-11 06:00:00,0.0,2.07,-4.33,12.66,11.46,83.2,3.88,8.93
1990-01-12 06:00:00,0.0,1.43,-11.3,6.13,21.51,99.37,3.75,9.36
1990-01-13 06:00:00,0.0,2.08,-9.98,12.66,30.77,91.23,4.27,9.26
1990-01-14 06:00:00,0.0,2.67,-2.04,18.78,23.21,87.79,3.71,9.28
1990-01-15 06:00:00,0.0,1.83,-1.74,15.1,21.08,80.39,2.59,8.88
1990-01-16 06:00:00,0.0,1.84,-4.21,14.65,19.98,100.0,2.56,9.65
1990-01-17 06:00:00,0.0,1.73,-4.72,11.87,17.65,80.48,3.09,9.62
1990-01-18 06:00:00,0.72,0.74,-8.94,4.97,28.18,100.0,2.55,7.99
1990-01-19 06:00:00,15.46,0.22,-9.07,0.7,43.74,100.0,3.82,5.1
1990-01-20 06:00:00,1.44,0.27,-13.41,1.13,76.29,100.0,4.82,8.43
1990-01-21 06:00:00,0.0,0.83,-13.9,3.06,54.27,100.0,4.45,10.42
1990-01-22 06:00:00,0.0,0.98,-7.12,4.61,44.95,100.0,3.27,10.5
1990-01-23 06:00:00,0.0,0.91,-7.21,3.62,51.13,100.0,5.47,10.75
1990-01-24 06:00:00,0.0,0.58,-11.89,2.64,52.96,100.0,5.86,9.55
1990-01-25 06:00:00,0.0,0.7,-13.82,0.81,51.92,100.0,4.76,10.79
1990-01-26 06:00:00,0.0,0.81,-9.3,4.25,58.65,100.0,4.1,10.89
1990-01-27 06:00:00,0.0,0.63,-12.91,2.42,54.15,100.0,5.54,11.22
1990-01-28 06:00:00,0.0,0.76,-13.56,0.83,53.45,100.0,4.23,11.27
1990-01-29 06:00:00,0.0,0.78,-11.45,3.64,57.78,100.0,3.71,10.68
1990-01-30 06:00:00,0.0,0.74,-9.45,2.66,53.9,100.0,4.73,11.21
1990-01-31 06:00:00,0.0,0.69,-7.15,4.2,64.15,100.0,3.43,10.6
1990-02-01 06:00:00,0.0,0.6,-12.02,0.48,54.86,100.0,3.34,8.95
1990-02-02 06:00:00,0.0,0.4,-13.51,-2.13,72.98,100.0,1.82,7.87
1990-02-03 06:00:00,0.0,0.92,-9.51,2.0,60.49,100.0,3.91,11.59
1990-02-04 06:00:00,0.0,1.15,-8.4,4.61,56.28,90.62,4.48,11.63
1990-02-05 06:00:00,0.0,1.19,-4.21,5.84,53.84,100.0,4.12,11.47
1990-02-06 06:00:00,0.0,1.42,-5.87,8.38,42.14,100.0,3.69,11.73
1990-02-07 06:00:00,0.0,1.91,-2.97,12.45,36.84,88.12,3.44,11.61
1990-02-08 06:00:00,0.0,1.8,-0.81,9.6,26.25,79.95,3.33,11.38
1990-02-09 06:00:00,0.0,2.08,-3.72,11.51,23.94,87.2,3.77,12.09
1990-02-10 06:00:00,0.0,2.09,-2.22,11.29,24.85,77.53,4.37,11.97
1990-02-11 06:00:00,0.0,2.62,-0.1,16.42,30.41,81.53,4.14,12.08
1990-02-12 06:00:00,0.0,3.08,1.97,18.7,29.49,75.51,4.3,11.93
1990-02-13 06:00:00,0.0,2.22,-8.77,8.25,27.22,89.11,7.14,12.53
1990-02-14 06:00:00,0.0,0.87,-12.75,-4.48,30.29,81.22,4.56,9.18
1990-02-15 06:00:00,0.33,0.45,-13.0,-7.18,39.06,100.0,3.93,5.01
1990-02-16 06:00:00,0.0,0.96,-14.77,-0.72,39.89,100.0,3.57,13.39
1990-02-17 06:00:00,0.0,1.67,-11.84,7.05,42.79,100.0,6.82,12.91
1990-02-18 06:00:00,0.0,1.74,-5.04,5.73,33.93,80.41,4.48,13.26
1990-02-19 06:00:00,0.0,1.75,-7.1,5.86,23.11,80.27,3.64,11.87
1990-02-20 06:00:00,8.72,0.6,-6.95,1.09,23.43,100.0,4.14,7.67
1990-02-21 06:00:00,0.71,0.74,-9.13,3.79,68.56,100.0,4.2,12.7
1990-02-22 06:00:00,0.0,1.84,-4.45,8.78,40.17,99.74,6.24,11.76
1990-02-23 06:00:00,0.0,2.74,-2.49,14.67,33.1,96.26,5.39,13.86
1990-02-24 06:00:00,0.0,1.99,-0.97,9.97,30.03,81.06,4.03,14.06
1990-02-25 06:00:00,0.0,1.61,-5.41,6.08,39.77,96.31,4.66,14.22
1990-02-26 06:00:00,0.0,2.43,-4.48,15.43,38.99,100.0,3.89,13.56
1990-02-27 06:00:00,0.3,1.35,-4.25,5.9,34.6,95.95,4.44,8.68
1990-02-28 06:00:00,0.0,0.9,-5.76,4.29,46.22,100.0,1.89,9.14
1990-03-01 06:00:00,0.0,1.59,-7.23,7.79,44.04,100.0,3.6,15.75
1990-03-02 06:00:00,0.0,2.47,-6.05,13.87,28.44,100.0,3.49,16.06
1990-03-03 06:00:00,0.0,2.74,-2.98,13.08,26.84,70.39,4.48,16.14
1990-03-04 06:00:00,0.68,1.92,-1.05,15.26,31.2,97.76,2.47,9.77
1990-03-05 06:00:00,0.48,2.09,1.99,13.62,38.06,76.47,5.41,7.22
1990-03-06 06:00:00,16.89,1.29,2.58,13.45,48.3,100.0,8.55,10.91
1990-03-07 06:00:00,1.66,1.48,-0.61,10.98,52.72,100.0,3.8,14.02
1990-03-08 06:00:00,0.0,2.49,-2.86,16.38,39.43,100.0,3.5,16.71
1990-03-09 06:00:00,0.43,3.21,1.36,21.09,32.23,93.38,3.42,16.59
1990-03-10 06:00:00,0.0,3.07,5.28,21.96,33.91,100.0,4.39,13.96
1990-03-11 06:00:00,1.25,3.52,4.63,20.62,38.4,100.0,7.47,14.36
1990-03-12 06:00:00,0.0,4.65,4.15,20.63,20.11,85.98,6.07,17.17
1990-03-13 06:00:00,0.0,4.06,3.5,20.03,20.13,89.24,5.5,16.09
1990-03-14 06:00:00,0.0,2.68,-2.67,10.37,21.49,100.0,6.38,17.43
1990-03-15 06:00:00,0.0,2.91,0.33,11.73,24.02,81.31,5.83,11.37
1990-03-16 06:00:00,0.0,3.61,-0.08,12.99,21.66,73.33,7.46,15.24
1990-03-17 06:00:00,0.0,2.92,-2.86,15.57,21.49,73.92,3.26,16.2
1990-03-18 06:00:00,0.0,2.03,0.53,8.42,22.95,82.54,5.18,7.06
1990-03-19 06:00:00,0.0,2.82,-5.36,13.41,28.23,76.45,3.46,18.93
1990-03-20 06:00:00,0.0,4.49,-1.37,23.51,19.34,84.82,3.67,18.62
1990-03-21 06:00:00,0.0,4.04,6.0,22.59,16.74,47.63,3.29,14.96
1990-03-22 06:00:00,0.0,3.69,2.82,17.95,21.27,90.33,5.02,18.84
1990-03-23 06:00:00,2.12,1.67,-11.61,7.07,30.61,100.0,5.64,9.41
1990-03-24 06:00:00,0.62,0.86,-12.48,-1.95,63.97,100.0,2.29,13.23
1990-03-25 06:00:00,0.0,1.69,-12.2,7.64,48.06,100.0,2.73,19.35
1990-03-26 06:00:00,0.84,2.36,-7.13,10.4,34.46,99.55,4.38,17.25
1990-03-27 06:00:00,2.65,2.61,-4.56,13.72,34.81,100.0,6.83,18.02
1990-03-28 06:00:00,8.62,0.92,-0.08,8.65,43.12,100.0,3.91,7.0
1990-03-29 06:00:00,2.5,1.24,-0.92,8.76,55.83,100.0,3.22,9.58
1990-03-30 06:00:00,1.56,0.85,-2.13,6.27,57.05,100.0,1.72,6.1
1990-03-31 06:00:00,0.0,2.74,0.39,15.99,41.47,100.0,3.22,16.29
1990-04-01 06:00:00,0.27,3.88,3.46,17.28,31.76,77.81,4.81,20.97
1990-04-02 06:00:00,0.29,2.96,-0.32,14.06,29.31,75.88,3.45,19.44
1990-04-03 06:00:00,0.0,3.72,0.7,22.03,31.45,91.49,2.36,21.64
1990-04-04 06:00:00,1.96,3.41,5.26,16.91,27.18,76.79,4.2,16.63
1990-04-05 06:00:00,6.04,1.46,-3.35,7.67,34.53,100.0,5.37,9.3
